date,entity_id,primary_metric,secondary_metric,revenue_or_value,quality_score,risk_score
2026-01-03,EXP019,92.8,49.8,126680,97.7,39.2
2026-01-03,EXP020,50.2,72.7,161611,80.6,22.7
2026-01-03,EXP021,56.6,68.0,142498,89.7,38.3
2026-01-03,EXP022,78.3,80.3,146573,86.6,51.4
2026-01-03,EXP023,55.2,28.2,172098,82.6,92.0
2026-01-03,EXP024,85.9,24.2,11011,84.0,36.4
2026-01-03,EXP025,55.9,74.4,31829,63.9,62.5
2026-01-03,EXP026,76.8,21.3,4783,71.6,38.2
2026-01-03,EXP027,67.1,77.4,117981,90.9,67.1
2026-01-03,EXP028,43.7,33.0,147395,75.6,91.6
2026-01-03,EXP029,69.9,39.0,34079,94.8,18.2
2026-01-03,EXP030,66.5,30.9,63681,63.7,12.5
2026-01-03,EXP031,50.9,55.2,107876,64.0,55.4
2026-01-03,EXP032,50.6,50.2,103535,68.0,82.0
2026-01-04,EXP001,66.7,69.4,158937,85.4,19.5
2026-01-04,EXP002,60.9,23.9,162543,89.1,39.1
2026-01-04,EXP003,93.5,72.8,68221,69.5,26.5
2026-01-04,EXP004,93.4,37.9,39063,73.2,71.6
2026-01-04,EXP005,63.6,80.3,27652,81.6,19.5
2026-01-04,EXP006,56.1,26.7,85854,78.9,71.6
2026-01-04,EXP007,71.0,74.4,21650,97.4,77.6
2026-01-04,EXP008,92.6,52.3,22143,72.2,82.5
2026-01-04,EXP009,54.6,41.2,157621,91.5,79.8
2026-01-04,EXP010,94.4,43.9,150150,87.1,85.1
2026-01-04,EXP011,83.4,56.5,127129,77.6,33.8
2026-01-04,EXP012,59.4,20.4,60262,85.7,50.2
2026-01-04,EXP013,46.2,31.1,171498,78.3,45.2
2026-01-04,EXP014,88.4,50.5,165251,82.8,22.0
2026-01-04,EXP015,49.7,27.1,49116,88.0,19.3
2026-01-04,EXP016,44.6,75.8,81804,89.2,35.2
2026-01-04,EXP017,46.6,79.5,49650,98.2,40.4
2026-01-04,EXP018,72.9,20.3,149989,81.7,76.0
2026-01-04,EXP019,80.0,63.8,72419,63.8,28.5
2026-01-04,EXP020,46.9,40.3,152564,81.2,25.0
2026-01-04,EXP021,89.0,34.5,22889,84.6,41.6
2026-01-04,EXP022,50.9,41.4,163844,98.4,60.4
2026-01-04,EXP023,58.2,36.0,14337,68.5,73.1
2026-01-04,EXP024,64.8,63.1,42247,67.0,59.1
2026-01-04,EXP025,48.4,23.7,114914,83.7,67.9
2026-01-04,EXP026,72.0,29.0,123177,74.5,64.9
2026-01-04,EXP027,80.7,63.9,169363,85.4,8.2
2026-01-04,EXP028,95.7,43.1,70525,62.1,54.4
2026-01-04,EXP029,89.4,46.3,40798,92.0,64.1
2026-01-04,EXP030,75.8,46.8,167688,94.6,68.3
2026-01-04,EXP031,44.6,69.8,78230,76.4,55.6
2026-01-04,EXP032,70.3,64.4,9488,81.6,21.4
2026-01-05,EXP001,76.0,35.5,37939,96.5,28.6
2026-01-05,EXP002,53.6,33.0,107588,66.5,69.6
2026-01-05,EXP003,58.4,21.6,135988,98.8,53.1
2026-01-05,EXP004,57.2,57.5,137067,90.9,90.7
2026-01-05,EXP005,41.7,76.6,131625,77.9,19.0
2026-01-05,EXP006,87.7,37.0,162503,84.0,80.8
2026-01-05,EXP007,53.3,61.5,12279,98.1,36.4
2026-01-05,EXP008,83.8,80.9,92469,86.4,51.3
2026-01-05,EXP009,78.1,44.0,57026,80.0,28.7
2026-01-05,EXP010,67.3,40.1,50405,73.9,38.4
2026-01-05,EXP011,70.9,41.3,24304,75.5,55.9
2026-01-05,EXP012,46.8,24.5,61185,78.3,13.4
2026-01-05,EXP013,88.0,46.9,24354,85.3,12.5
2026-01-05,EXP014,68.5,64.7,109791,75.9,52.0
2026-01-05,EXP015,83.5,46.3,41863,79.6,70.7
2026-01-05,EXP016,93.6,35.2,27231,89.7,48.3
2026-01-05,EXP017,86.6,47.2,132422,78.4,12.7
2026-01-05,EXP018,47.6,47.2,41198,72.3,58.9
2026-01-05,EXP019,64.9,33.2,73142,74.6,15.3
2026-01-05,EXP020,75.0,64.5,147975,72.1,31.5
2026-01-05,EXP021,67.5,71.0,89528,92.5,16.3
2026-01-05,EXP022,88.6,25.1,77075,67.3,33.4
2026-01-05,EXP023,91.9,70.4,141626,78.6,65.3
2026-01-05,EXP024,43.1,55.4,154205,93.4,77.2
2026-01-05,EXP025,89.8,29.5,77906,84.1,56.2
2026-01-05,EXP026,49.9,81.7,79519,91.6,34.4
2026-01-05,EXP027,48.4,20.2,52235,86.1,34.4
2026-01-05,EXP028,88.2,66.0,51398,86.8,82.4
2026-01-05,EXP029,78.3,40.8,4057,79.0,56.1
2026-01-05,EXP030,46.8,71.6,75860,74.4,79.4
2026-01-05,EXP031,82.2,57.8,34451,77.2,38.1
2026-01-05,EXP032,62.0,81.8,111438,90.4,16.2
2026-01-06,EXP001,78.0,54.1,136211,81.9,62.0
2026-01-06,EXP002,83.1,29.5,69833,90.5,32.0
2026-01-06,EXP003,70.5,29.2,2714,89.6,22.8
2026-01-06,EXP004,82.1,22.5,92557,64.2,30.5
2026-01-06,EXP005,90.3,69.5,111442,65.8,59.7
2026-01-06,EXP006,72.2,73.5,126919,91.7,49.1
2026-01-06,EXP007,58.4,67.5,67281,82.5,80.5
2026-01-06,EXP008,43.0,35.2,93331,81.8,92.4
2026-01-06,EXP009,92.0,33.6,93061,67.1,62.6
2026-01-06,EXP010,44.6,56.4,43768,93.2,12.5
2026-01-06,EXP011,63.7,64.1,122425,68.4,50.0
2026-01-06,EXP012,65.0,63.1,120706,77.9,65.4
2026-01-06,EXP013,65.4,54.7,108234,93.8,56.2
2026-01-06,EXP014,75.4,39.0,33314,90.7,81.5
2026-01-06,EXP015,65.8,75.3,19346,73.6,25.6
2026-01-06,EXP016,75.9,50.4,171709,78.8,66.9
2026-01-06,EXP017,51.2,46.6,47439,76.1,13.1
2026-01-06,EXP018,91.6,71.5,90088,68.4,60.8
2026-01-06,EXP019,55.3,36.1,142486,91.6,58.1
2026-01-06,EXP020,95.1,52.9,73781,76.5,8.5
2026-01-06,EXP021,81.7,35.9,79509,65.5,35.1
2026-01-06,EXP022,73.1,77.5,73527,94.7,21.4
2026-01-06,EXP023,95.2,22.2,172827,88.1,23.9
2026-01-06,EXP024,58.8,32.9,104021,87.6,82.1
2026-01-06,EXP025,89.5,23.2,66878,80.0,19.6
2026-01-06,EXP026,51.2,32.7,165597,70.6,83.1
2026-01-06,EXP027,72.9,23.8,100250,92.2,54.3
2026-01-06,EXP028,54.5,65.8,160059,92.1,22.8
2026-01-06,EXP029,68.8,44.7,72975,78.8,69.8
2026-01-06,EXP030,54.7,23.7,16727,71.3,34.0
2026-01-06,EXP031,74.5,68.1,142740,81.4,49.9
2026-01-06,EXP032,56.1,24.1,148253,79.2,73.1
2026-01-07,EXP001,54.1,38.5,113380,74.6,55.4
2026-01-07,EXP002,51.1,37.4,133363,87.1,91.3
2026-01-07,EXP003,81.8,56.0,83912,83.4,91.8
2026-01-07,EXP004,57.1,54.1,141335,62.9,59.4
2026-01-07,EXP005,50.7,67.1,116898,70.4,15.9
2026-01-07,EXP006,61.5,27.6,97354,85.7,84.7
2026-01-07,EXP007,60.5,59.2,142448,73.6,58.3
2026-01-07,EXP008,55.9,75.2,113378,89.6,66.1
2026-01-07,EXP009,72.5,36.9,66753,71.5,28.9
2026-01-07,EXP010,76.1,78.1,28268,72.2,40.0
2026-01-07,EXP011,66.9,38.1,161123,70.9,43.5
2026-01-07,EXP012,90.2,81.2,142438,82.9,18.9
2026-01-07,EXP013,56.2,55.7,162259,98.5,75.2
2026-01-07,EXP014,88.5,63.0,138641,86.9,91.5
2026-01-07,EXP015,69.0,68.8,8393,68.3,17.6
2026-01-07,EXP016,83.4,63.0,109322,83.2,73.9
2026-01-07,EXP017,58.7,40.1,18581,63.5,26.8
2026-01-07,EXP018,73.9,79.0,30286,95.6,78.1
2026-01-07,EXP019,88.2,70.3,145244,69.9,23.4
2026-01-07,EXP020,65.0,61.4,42652,81.2,25.7
2026-01-07,EXP021,89.0,55.8,122329,83.4,75.0
2026-01-07,EXP022,86.6,28.5,115841,65.3,60.7
2026-01-07,EXP023,49.7,27.4,140859,75.2,77.5
2026-01-07,EXP024,49.4,67.2,52059,94.9,18.2
2026-01-07,EXP025,62.6,34.3,144012,75.2,47.9
2026-01-07,EXP026,51.2,30.7,145483,84.8,10.5
2026-01-07,EXP027,89.5,40.8,65215,78.2,85.0
2026-01-07,EXP028,53.2,61.7,47084,76.7,41.2
2026-01-07,EXP029,44.7,69.7,9677,76.2,42.3
2026-01-07,EXP030,67.3,70.3,80800,66.1,34.5
2026-01-07,EXP031,59.7,53.9,30755,88.8,10.3
2026-01-07,EXP032,66.2,69.4,2232,98.0,22.3
2026-01-08,EXP001,63.3,31.0,151378,78.0,85.9
2026-01-08,EXP002,45.8,35.3,114342,89.0,32.5
2026-01-08,EXP003,73.8,44.0,126655,78.6,52.0
2026-01-08,EXP004,92.8,49.8,13136,83.3,19.6
2026-01-08,EXP005,80.4,35.6,170595,96.8,10.4
2026-01-08,EXP006,84.1,70.8,140640,92.1,22.9
2026-01-08,EXP007,76.9,62.5,88028,97.0,77.6
2026-01-08,EXP008,51.7,28.8,124895,76.7,43.7
2026-01-08,EXP009,45.9,54.8,41636,63.8,45.4
2026-01-08,EXP010,90.0,76.4,67015,63.7,74.0
2026-01-08,EXP011,86.3,75.2,164182,72.8,86.5
2026-01-08,EXP012,67.7,79.4,130121,73.5,91.4
2026-01-08,EXP013,90.3,41.0,58158,92.4,87.9
2026-01-08,EXP014,91.9,40.7,144172,84.8,91.0
2026-01-08,EXP015,68.6,71.2,16892,83.2,52.9
2026-01-08,EXP016,79.7,23.1,97186,83.9,48.3
2026-01-08,EXP017,81.3,57.0,99232,93.8,93.7
2026-01-08,EXP018,49.9,71.9,20296,64.5,71.2
2026-01-08,EXP019,60.9,53.2,143766,69.6,15.4
2026-01-08,EXP020,51.8,46.0,7588,73.7,84.5
2026-01-08,EXP021,82.5,29.7,47093,94.7,17.5
2026-01-08,EXP022,75.6,50.1,115239,91.0,86.7
2026-01-08,EXP023,92.1,32.8,146299,94.8,12.0
2026-01-08,EXP024,75.6,21.4,42319,96.5,40.7
2026-01-08,EXP025,74.4,66.2,114392,62.6,71.5
2026-01-08,EXP026,71.1,24.1,121527,73.9,52.4
2026-01-08,EXP027,90.5,49.7,156292,67.5,80.7
2026-01-08,EXP028,56.4,66.3,155981,95.1,19.4
2026-01-08,EXP029,53.7,54.8,55293,91.0,30.1
2026-01-08,EXP030,56.7,69.9,47373,63.2,39.6
2026-01-08,EXP031,90.5,58.3,173211,83.4,55.0
2026-01-08,EXP032,89.5,32.8,45504,77.2,34.4
2026-01-09,EXP001,75.0,78.8,88443,66.1,27.5
2026-01-09,EXP002,61.8,80.2,80618,88.3,34.2
2026-01-09,EXP003,56.2,41.0,75569,67.1,18.9
2026-01-09,EXP004,73.2,55.2,144026,85.3,28.5
2026-01-09,EXP005,92.4,23.8,167941,92.6,70.5
2026-01-09,EXP006,88.5,34.5,98988,68.2,28.3
2026-01-09,EXP007,55.5,38.7,168322,70.6,75.7
2026-01-09,EXP008,82.6,73.6,156993,93.9,49.4
2026-01-09,EXP009,88.1,62.0,170550,77.7,69.7
2026-01-09,EXP010,61.1,69.7,41801,97.8,74.3
2026-01-09,EXP011,72.6,51.8,93145,75.9,80.2
2026-01-09,EXP012,80.2,51.1,14430,86.1,44.4
2026-01-09,EXP013,93.3,52.5,146664,66.7,60.1
2026-01-09,EXP014,73.7,63.6,149892,91.7,31.4
2026-01-09,EXP015,54.7,31.5,33785,85.4,9.6
2026-01-09,EXP016,67.5,75.6,16246,90.3,50.9
2026-01-09,EXP017,56.9,69.2,172284,80.1,50.8
2026-01-09,EXP018,93.3,69.0,123906,66.8,49.8
2026-01-09,EXP019,68.1,69.7,51557,69.9,32.2
2026-01-09,EXP020,64.2,49.1,108318,79.0,31.6
2026-01-09,EXP021,91.5,63.0,75312,64.9,78.9
2026-01-09,EXP022,75.1,36.1,104724,67.0,20.3
2026-01-09,EXP023,65.9,44.8,10976,93.9,44.8
2026-01-09,EXP024,41.6,46.4,2429,83.3,85.9
2026-01-09,EXP025,71.8,33.9,45613,98.2,32.6
2026-01-09,EXP026,66.8,70.7,14761,65.9,21.6
2026-01-09,EXP027,69.3,41.8,174003,96.0,18.4
2026-01-09,EXP028,61.5,23.3,164390,73.1,72.1
2026-01-09,EXP029,95.4,52.2,63962,67.2,37.6
2026-01-09,EXP030,55.5,67.5,77319,90.9,36.3
2026-01-09,EXP031,66.5,28.6,159878,70.6,20.1
2026-01-09,EXP032,50.5,48.0,100833,86.5,17.6
2026-01-10,EXP001,79.8,47.7,111919,94.4,67.3
2026-01-10,EXP002,55.8,59.6,5317,72.7,66.5
2026-01-10,EXP003,68.2,76.2,72840,71.5,88.2
2026-01-10,EXP004,47.4,78.3,117601,66.6,49.1
2026-01-10,EXP005,91.8,38.7,50350,96.3,42.4
2026-01-10,EXP006,56.0,30.1,109594,87.3,78.8
2026-01-10,EXP007,43.2,69.9,22492,62.9,76.9
2026-01-10,EXP008,44.7,54.9,122417,90.9,60.7
2026-01-10,EXP009,45.2,69.0,2840,98.7,71.7
2026-01-10,EXP010,66.3,62.0,172699,71.2,93.6
2026-01-10,EXP011,89.5,42.9,20509,94.3,34.4
2026-01-10,EXP012,67.9,45.4,172569,65.3,44.3
2026-01-10,EXP013,54.8,59.8,45119,84.8,77.4
2026-01-10,EXP014,82.8,37.9,117765,64.2,64.0
2026-01-10,EXP015,88.5,50.3,29070,63.2,68.7
2026-01-10,EXP016,88.9,64.0,64079,65.9,52.7
2026-01-10,EXP017,57.5,53.6,123334,90.9,48.5
2026-01-10,EXP018,72.1,43.5,136985,79.0,73.7
2026-01-10,EXP019,65.0,62.3,152879,81.1,51.9
2026-01-10,EXP020,52.2,75.1,151708,85.5,75.1
2026-01-10,EXP021,68.9,33.4,128102,87.1,36.0
2026-01-10,EXP022,40.2,36.5,65882,78.4,25.4
2026-01-10,EXP023,81.3,66.5,143979,96.1,50.5
2026-01-10,EXP024,86.8,23.0,90049,93.0,43.0
2026-01-10,EXP025,51.7,74.3,94572,78.8,57.5
2026-01-10,EXP026,40.5,27.5,84500,66.6,81.6
2026-01-10,EXP027,75.8,20.9,29822,63.5,69.8
2026-01-10,EXP028,91.4,55.7,23281,66.3,30.2
2026-01-10,EXP029,65.2,41.7,22427,95.3,16.6
2026-01-10,EXP030,44.4,47.6,20293,90.1,39.7
2026-01-10,EXP031,70.4,64.2,81183,77.2,43.9
2026-01-10,EXP032,81.1,71.5,134411,76.1,48.4
2026-01-11,EXP001,90.8,56.6,65457,77.7,17.8
2026-01-11,EXP002,59.3,63.4,113249,63.0,63.6
2026-01-11,EXP003,65.4,36.4,111807,70.8,77.2
2026-01-11,EXP004,62.2,27.3,50590,62.1,61.8
2026-01-11,EXP005,63.7,45.7,151641,89.2,20.7
2026-01-11,EXP006,55.9,77.0,85033,80.1,51.5
2026-01-11,EXP007,73.9,49.2,50152,71.4,21.2
2026-01-11,EXP008,69.0,43.6,163944,64.0,93.6
2026-01-11,EXP009,92.8,60.2,43158,64.7,33.2
2026-01-11,EXP010,61.0,42.8,152065,79.8,19.1
2026-01-11,EXP011,89.6,74.2,129729,80.1,67.8
2026-01-11,EXP012,52.3,42.2,42675,85.6,59.7
2026-01-11,EXP013,84.1,21.8,23068,97.6,86.9
2026-01-11,EXP014,60.2,56.8,44937,93.9,24.8
2026-01-11,EXP015,78.1,70.6,127003,63.3,25.0
2026-01-11,EXP016,57.6,26.7,62095,76.7,20.4
2026-01-11,EXP017,64.8,53.9,13886,91.1,34.1
2026-01-11,EXP018,40.9,47.0,107081,73.5,80.1
2026-01-11,EXP019,92.0,79.3,63552,69.9,32.2
2026-01-11,EXP020,75.1,28.8,131349,82.5,10.8
2026-01-11,EXP021,59.6,25.0,172588,86.1,86.2
2026-01-11,EXP022,70.6,71.0,102079,67.8,79.0
2026-01-11,EXP023,67.6,36.2,156053,91.3,77.2
2026-01-11,EXP024,82.1,57.4,173272,62.3,12.2
2026-01-11,EXP025,60.8,50.4,161077,75.3,26.7
2026-01-11,EXP026,40.8,47.3,62338,95.8,58.4
2026-01-11,EXP027,49.0,65.5,92582,66.9,85.6
2026-01-11,EXP028,82.3,31.5,130156,75.7,43.0
2026-01-11,EXP029,90.5,54.3,50037,78.9,38.5
2026-01-11,EXP030,64.8,57.2,107532,62.4,93.1
2026-01-11,EXP031,87.5,44.5,8608,77.5,51.1
2026-01-11,EXP032,72.4,68.5,82662,98.2,27.0
2026-01-12,EXP001,86.6,43.1,141813,86.7,90.1
2026-01-12,EXP002,65.9,74.1,14905,75.9,9.0
2026-01-12,EXP003,88.6,38.1,36966,75.0,41.2
2026-01-12,EXP004,49.6,20.4,73252,70.7,64.6
2026-01-12,EXP005,84.7,30.5,158841,69.3,90.5
2026-01-12,EXP006,78.1,40.4,59661,93.5,66.6
2026-01-12,EXP007,56.1,53.1,25776,96.4,21.7
2026-01-12,EXP008,74.1,26.5,134780,93.6,31.3
2026-01-12,EXP009,64.7,55.8,19464,87.2,34.3
2026-01-12,EXP010,46.9,49.0,10532,86.3,88.9
2026-01-12,EXP011,82.1,59.8,22414,71.7,63.9
2026-01-12,EXP012,80.2,76.8,29014,92.6,33.7
2026-01-12,EXP013,74.5,72.6,136266,91.0,69.5
2026-01-12,EXP014,63.2,28.6,136935,74.1,35.5
2026-01-12,EXP015,58.1,63.3,86494,80.0,62.0
2026-01-12,EXP016,94.4,72.7,148333,69.0,88.9
2026-01-12,EXP017,82.5,56.8,81350,90.2,9.9
2026-01-12,EXP018,72.5,23.8,160226,92.9,56.2
2026-01-12,EXP019,50.0,26.2,116548,70.7,82.7
2026-01-12,EXP020,77.6,25.3,54367,96.7,81.8
2026-01-12,EXP021,88.4,80.1,48698,77.7,73.6
2026-01-12,EXP022,74.4,67.4,92061,93.9,57.7
2026-01-12,EXP023,52.9,75.3,71996,71.8,88.1
2026-01-12,EXP024,77.8,47.7,3819,85.7,46.8
2026-01-12,EXP025,83.7,46.7,61037,73.8,90.8
2026-01-12,EXP026,50.7,20.2,18152,77.2,43.1
2026-01-12,EXP027,40.7,80.4,149271,67.3,25.3
2026-01-12,EXP028,51.6,60.3,116646,84.2,62.5
2026-01-12,EXP029,82.6,48.2,52349,67.8,36.4
2026-01-12,EXP030,50.2,20.6,85853,70.2,10.1
2026-01-12,EXP031,62.2,63.1,167894,67.0,10.8
2026-01-12,EXP032,67.1,74.7,25442,85.6,21.9
2026-01-13,EXP001,67.8,73.7,16852,88.4,34.8
2026-01-13,EXP002,87.6,28.5,92055,87.0,22.3
2026-01-13,EXP003,95.3,55.2,63570,87.5,15.3
2026-01-13,EXP004,51.0,76.2,156178,91.5,72.8
2026-01-13,EXP005,43.6,61.1,151383,88.5,69.7
2026-01-13,EXP006,88.8,65.7,16417,68.5,57.6
2026-01-13,EXP007,53.4,31.1,137891,67.3,20.9
2026-01-13,EXP008,46.1,30.0,118164,84.7,54.0
2026-01-13,EXP009,68.5,50.0,95421,81.9,81.1
2026-01-13,EXP010,72.2,40.9,117019,67.5,31.7
2026-01-13,EXP011,77.4,50.6,103932,82.5,15.3
2026-01-13,EXP012,56.0,53.7,116385,88.0,56.1
2026-01-13,EXP013,95.2,25.7,53470,86.4,39.4
2026-01-13,EXP014,41.7,48.2,114866,69.6,74.5
2026-01-13,EXP015,78.5,27.7,167111,91.7,63.4
2026-01-13,EXP016,79.7,71.6,84664,91.4,44.9
2026-01-13,EXP017,80.0,53.5,46242,68.3,33.5
2026-01-13,EXP018,90.1,58.5,154533,64.4,38.8
2026-01-13,EXP019,93.2,38.6,149599,74.6,35.0
2026-01-13,EXP020,57.7,79.5,114618,81.3,32.8
2026-01-13,EXP021,47.9,75.4,161969,94.1,90.8
2026-01-13,EXP022,47.9,47.7,36357,72.6,81.1
2026-01-13,EXP023,52.2,54.3,157466,70.3,48.1
2026-01-13,EXP024,79.6,55.7,83044,82.3,66.8
2026-01-13,EXP025,42.9,59.8,46072,86.1,68.4
2026-01-13,EXP026,43.3,69.9,13698,96.6,47.2
2026-01-13,EXP027,47.6,45.5,97835,75.1,43.2
2026-01-13,EXP028,42.4,58.6,60917,93.9,15.0
2026-01-13,EXP029,72.5,33.3,67525,73.4,62.8
2026-01-13,EXP030,50.6,48.9,83655,88.3,62.4
2026-01-13,EXP031,65.7,55.6,73036,62.8,22.5
2026-01-13,EXP032,91.1,72.8,12838,73.3,11.1
2026-01-14,EXP001,56.8,33.8,61941,94.2,87.4
2026-01-14,EXP002,42.8,66.0,112153,68.0,14.6
2026-01-14,EXP003,71.9,43.5,84827,68.5,14.3
2026-01-14,EXP004,49.1,51.5,110289,87.4,33.3
2026-01-14,EXP005,89.0,40.0,81505,67.1,24.7
2026-01-14,EXP006,86.6,20.1,60019,62.3,29.2
2026-01-14,EXP007,60.3,53.6,123082,64.0,48.7
2026-01-14,EXP008,94.2,58.3,80965,63.4,36.9
2026-01-14,EXP009,93.5,72.6,4401,64.7,19.8
2026-01-14,EXP010,63.4,26.5,139523,89.0,13.0
2026-01-14,EXP011,86.6,48.0,24605,64.0,23.1
2026-01-14,EXP012,77.1,56.7,43317,92.8,18.8
2026-01-14,EXP013,55.3,56.0,95648,66.3,44.5
2026-01-14,EXP014,61.8,25.9,81421,95.1,62.1
2026-01-14,EXP015,91.8,52.9,89878,98.4,43.3
2026-01-14,EXP016,45.1,26.1,122792,72.9,15.2
2026-01-14,EXP017,48.9,40.5,151386,87.0,45.4
2026-01-14,EXP018,91.4,66.1,26593,96.5,28.4
2026-01-14,EXP019,68.3,47.2,24792,66.2,44.4
2026-01-14,EXP020,67.1,45.0,173090,64.3,55.7
2026-01-14,EXP021,90.6,32.1,97942,73.6,48.9
2026-01-14,EXP022,75.9,65.3,57278,73.0,81.8
2026-01-14,EXP023,67.2,26.8,52975,85.0,9.1
2026-01-14,EXP024,48.4,59.0,103133,92.3,31.4
2026-01-14,EXP025,78.8,59.9,110704,76.3,48.3
2026-01-14,EXP026,94.5,57.4,102617,69.5,89.0
2026-01-14,EXP027,67.3,76.7,120375,75.6,58.5
2026-01-14,EXP028,67.0,60.2,141264,88.7,59.4
2026-01-14,EXP029,43.2,70.4,93134,67.9,32.1
2026-01-14,EXP030,64.4,68.2,91318,78.6,34.2
2026-01-14,EXP031,72.0,47.8,85085,66.1,57.8
2026-01-14,EXP032,41.9,54.2,65168,87.7,55.0
2026-01-15,EXP001,42.0,61.4,131558,86.2,22.6
